noise_sigma,strategy,win,seed,threshold_val,total_bytes_mbit,recall,med_latency,miss_rate
0.02,MGL,2,1,0.5000000000000001,110.71750000000002,0.516506922257721,2.0,0.10526315789473684
0.02,MGL,3,1,0.5000000000000001,91.8875,0.42669506567270143,3.0,0.21052631578947367
0.02,MGL,5,1,0.5000000000000001,66.0575,0.2988995385161519,1.0,0.4626038781163435
0.02,Binary,0,1,0.55,24.430000000000003,0.12389066382676606,1.0,0.6897506925207756
0.02,Smooth,2,1,0.55,22.540000000000003,0.11146609868654597,1.0,0.7340720221606648
0.02,Smooth,3,1,0.55,19.040000000000003,0.0855520056798012,2.0,0.7479224376731302
0.02,Smooth,5,1,0.55,13.090000000000002,0.043663471778487756,3.0,0.8005540166204986
0.02,MGL,2,1,0.55,84.50250000000001,0.4036208732694356,2.0,0.24653739612188366
0.02,MGL,3,1,0.55,69.52250000000001,0.3283635072772453,3.0,0.3462603878116344
0.02,MGL,5,1,0.55,49.08250000000001,0.2250621228257011,1.0,0.5595567867036011
0.02,Binary,0,2,0.1,3388.2100000000005,1.0,0.0,0.0
0.02,Smooth,2,2,0.1,2087.4700000000003,1.0,0.0,0.0
0.02,Smooth,3,2,0.1,1852.6900000000003,0.9989350372736954,0.0,0.0
0.02,Smooth,5,2,0.1,1682.3100000000002,0.9705360312389066,0.0,0.0
0.02,MGL,2,2,0.1,3388.2100000000005,1.0,0.0,0.0
0.02,MGL,3,2,0.1,3388.2100000000005,1.0,0.0,0.0
0.02,MGL,5,2,0.1,3388.2100000000005,1.0,0.0,0.0
0.02,Binary,0,2,0.15000000000000002,936.3900000000001,1.0,0.0,0.0
0.02,Smooth,2,2,0.15000000000000002,732.4100000000001,0.9953851615193469,0.0,0.0
0.02,Smooth,3,2,0.15000000000000002,686.7700000000001,0.9613063542776003,0.0,0.0
0.02,Smooth,5,2,0.15000000000000002,637.4200000000001,0.865814696485623,0.0,0.0
0.02,MGL,2,2,0.15000000000000002,936.3900000000001,1.0,0.0,0.0
0.02,MGL,3,2,0.15000000000000002,936.3900000000001,1.0,0.0,0.0
0.02,MGL,5,2,0.15000000000000002,936.3900000000001,1.0,0.0,0.0
0.02,Binary,0,2,0.2,389.20000000000005,0.9996450124245652,0.0,0.0
0.02,Smooth,2,2,0.2,349.65000000000003,0.957046503372382,0.0,0.0
0.02,Smooth,3,2,0.2,328.37,0.8700745473908413,0.0,0.0
0.02,Smooth,5,2,0.2,303.87,0.7394391196308129,1.0,0.0
0.02,MGL,2,2,0.2,389.20000000000005,0.9996450124245652,0.0,0.0
0.02,MGL,3,2,0.2,389.20000000000005,0.9996450124245652,0.0,0.0
0.02,MGL,5,2,0.2,389.20000000000005,0.9996450124245652,0.0,0.0
0.02,Binary,0,2,0.25,203.56000000000003,0.9187078452254172,0.0,0.0
0.02,Smooth,2,2,0.25,189.49,0.7820376286829961,0.0,0.0
0.02,Smooth,3,2,0.25,180.18,0.7042953496627617,1.0,0.008310249307479225
0.02,Smooth,5,2,0.25,167.16000000000003,0.5523606673766418,2.0,0.0997229916897507
0.02,MGL,2,2,0.25,641.905,0.9843805466808662,0.0,0.0
0.02,MGL,3,2,0.25,541.665,0.9705360312389066,0.0,0.0
0.02,MGL,5,2,0.25,428.5450000000001,0.9559815406460774,0.0,0.0
0.02,Binary,0,2,0.30000000000000004,120.96000000000001,0.6130635427760028,0.0,0.04155124653739612
0.02,Smooth,2,2,0.30000000000000004,107.59,0.5026624068157615,1.0,0.13019390581717452
0.02,Smooth,3,2,0.30000000000000004,100.73,0.4401845935392261,1.0,0.17174515235457063
0.02,Smooth,5,2,0.30000000000000004,94.36000000000001,0.33759318423855167,2.0,0.3296398891966759
0.02,MGL,2,2,0.30000000000000004,418.5325000000001,0.9101881434149804,0.0,0.0
0.02,MGL,3,2,0.30000000000000004,350.3525,0.8576499822506213,0.0,0.036011080332409975
0.02,MGL,5,2,0.30000000000000004,271.5325,0.7802626908058218,0.0,0.038781163434903045
0.02,Binary,0,2,0.3500000000000001,77.07000000000001,0.3908413205537806,0.0,0.23545706371191136
0.02,Smooth,2,2,0.3500000000000001,68.39,0.3276535321263756,1.0,0.37950138504155123
0.02,Smooth,3,2,0.3500000000000001,64.68,0.28292509762158324,2.0,0.4293628808864266
0.02,Smooth,5,2,0.3500000000000001,60.2,0.21228257011004614,3.0,0.5235457063711911
0.02,MGL,2,2,0.3500000000000001,283.81750000000005,0.8246361377351793,1.0,0.0
0.02,MGL,3,2,0.3500000000000001,236.56750000000005,0.7387291444799432,0.0,0.09695290858725762
0.02,MGL,5,2,0.3500000000000001,181.0575,0.610223642172524,0.0,0.18559556786703602
0.02,Binary,0,2,0.4,53.830000000000005,0.2729854455094072,0.5,0.4182825484764543
0.02,Smooth,2,2,0.4,48.440000000000005,0.2339368122115726,1.0,0.5263157894736842
