noise_sigma,strategy,win,seed,threshold_val,total_bytes_mbit,recall,med_latency,miss_rate
0.02,MGL,2,1,0.1,1026.13,1.0,0.0,0.0
0.02,MGL,3,1,0.1,1026.13,1.0,0.0,0.0
0.02,MGL,5,1,0.1,1026.13,1.0,0.0,0.0
0.02,Binary,0,1,0.15000000000000002,241.99,1.0,0.0,0.0
0.02,Smooth,2,1,0.15000000000000002,168.77,0.990506329113924,0.0,0.0
0.02,Smooth,3,1,0.15000000000000002,148.82000000000002,0.9018987341772152,0.0,0.0
0.02,Smooth,5,1,0.15000000000000002,121.52000000000001,0.7310126582278481,0.0,0.0
0.02,MGL,2,1,0.15000000000000002,241.99,1.0,0.0,0.0
0.02,MGL,3,1,0.15000000000000002,241.99,1.0,0.0,0.0
0.02,MGL,5,1,0.15000000000000002,241.99,1.0,0.0,0.0
0.02,Binary,0,1,0.2,69.79,1.0,0.0,0.0
0.02,Smooth,2,1,0.2,50.82000000000001,0.8670886075949367,0.0,0.0
0.02,Smooth,3,1,0.2,43.75000000000001,0.7088607594936709,0.0,0.0
0.02,Smooth,5,1,0.2,32.620000000000005,0.43670886075949367,1.5,0.047619047619047616
0.02,MGL,2,1,0.2,69.79,1.0,0.0,0.0
0.02,MGL,3,1,0.2,69.79,1.0,0.0,0.0
0.02,MGL,5,1,0.2,69.79,1.0,0.0,0.0
0.02,Binary,0,1,0.25,23.03,0.879746835443038,0.0,0.0
0.02,Smooth,2,1,0.25,18.200000000000003,0.5886075949367089,0.0,0.0
0.02,Smooth,3,1,0.25,14.490000000000002,0.43670886075949367,1.0,0.0
0.02,Smooth,5,1,0.25,8.75,0.21835443037974683,2.0,0.2857142857142857
0.02,MGL,2,1,0.25,134.705,0.9525316455696202,0.0,0.0
0.02,MGL,3,1,0.25,101.805,0.939873417721519,0.0,0.0
0.02,MGL,5,1,0.25,67.85500000000002,0.8924050632911392,0.0,0.0
