dd_tau,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
0.15,0.05,MGL,8,0.25,166.26500000000001,0.9177215189873418
0.15,0.05,Binary,8,0.30000000000000004,13.650000000000002,0.40822784810126583
0.15,0.05,MGL,8,0.30000000000000004,80.34500000000001,0.75
0.15,0.05,Binary,8,0.3500000000000001,3.5000000000000004,0.1550632911392405
0.15,0.05,MGL,8,0.3500000000000001,39.09,0.5348101265822784
0.15,0.05,Binary,8,0.4,0.9800000000000001,0.04430379746835443
0.15,0.05,MGL,8,0.4,21.152500000000003,0.3829113924050633
0.15,0.05,Binary,8,0.45000000000000007,0.28,0.012658227848101266
0.15,0.05,MGL,8,0.45000000000000007,10.527500000000002,0.25
0.15,0.05,Binary,8,0.5000000000000001,0.07,0.0031645569620253164
0.15,0.05,MGL,8,0.5000000000000001,5.74,0.14240506329113925
0.15,0.05,Binary,8,0.55,0.0,0.0
0.15,0.05,MGL,8,0.55,2.5500000000000003,0.060126582278481014
0.15,0.05,Binary,9,0.1,2042.4600000000003,1.0
0.15,0.05,MGL,9,0.1,2042.4600000000003,1.0
0.15,0.05,Binary,9,0.15000000000000002,562.3800000000001,0.9936708860759493
0.15,0.05,MGL,9,0.15000000000000002,981.5450000000002,1.0
0.15,0.05,Binary,9,0.2,143.08,0.9335443037974683
0.15,0.05,MGL,9,0.2,373.3850000000001,0.9841772151898734
0.15,0.05,Binary,9,0.25,41.580000000000005,0.7436708860759493
0.15,0.05,MGL,9,0.25,163.86,0.9208860759493671
0.15,0.05,Binary,9,0.30000000000000004,13.440000000000001,0.4430379746835443
0.15,0.05,MGL,9,0.30000000000000004,81.275,0.7689873417721519
0.15,0.05,Binary,9,0.3500000000000001,4.2700000000000005,0.18037974683544303
0.15,0.05,MGL,9,0.3500000000000001,38.050000000000004,0.5664556962025317
0.15,0.05,Binary,9,0.4,1.05,0.04746835443037975
0.15,0.05,MGL,9,0.4,19.142500000000002,0.35443037974683544
0.15,0.05,Binary,9,0.45000000000000007,0.21000000000000002,0.00949367088607595
0.15,0.05,MGL,9,0.45000000000000007,10.810000000000002,0.24367088607594936
0.15,0.05,Binary,9,0.5000000000000001,0.0,0.0
0.15,0.05,MGL,9,0.5000000000000001,5.335000000000001,0.14240506329113925
0.15,0.05,Binary,9,0.55,0.0,0.0
0.15,0.05,MGL,9,0.55,2.3875,0.06329113924050633
0.15,0.1,Binary,0,0.1,4212.88,0.9620253164556962
0.15,0.1,MGL,0,0.1,4212.88,0.9620253164556962
