part,param,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
A,rho=0.0,0.02,MGL,6,0.5000000000000001,4.430000000000001,0.1550632911392405
A,rho=0.0,0.02,Binary,6,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,6,0.55,1.9675000000000002,0.06645569620253164
A,rho=0.0,0.02,Binary,7,0.1,1022.2800000000001,1.0
A,rho=0.0,0.02,MGL,7,0.1,1022.2800000000001,1.0
A,rho=0.0,0.02,Binary,7,0.15000000000000002,240.52,1.0
A,rho=0.0,0.02,MGL,7,0.15000000000000002,240.52,1.0
A,rho=0.0,0.02,Binary,7,0.2,67.83000000000001,1.0
A,rho=0.0,0.02,MGL,7,0.2,67.83000000000001,1.0
A,rho=0.0,0.02,Binary,7,0.25,23.310000000000002,0.8670886075949367
A,rho=0.0,0.02,MGL,7,0.25,133.5875,0.9683544303797469
A,rho=0.0,0.02,Binary,7,0.30000000000000004,8.33,0.37341772151898733
A,rho=0.0,0.02,MGL,7,0.30000000000000004,67.8625,0.7911392405063291
A,rho=0.0,0.02,Binary,7,0.3500000000000001,2.31,0.10443037974683544
A,rho=0.0,0.02,MGL,7,0.3500000000000001,33.627500000000005,0.5569620253164557
A,rho=0.0,0.02,Binary,7,0.4,0.7000000000000001,0.03164556962025317
A,rho=0.0,0.02,MGL,7,0.4,17.1675,0.41139240506329117
A,rho=0.0,0.02,Binary,7,0.45000000000000007,0.07,0.0031645569620253164
A,rho=0.0,0.02,MGL,7,0.45000000000000007,9.557500000000001,0.27848101265822783
A,rho=0.0,0.02,Binary,7,0.5000000000000001,0.0,0.0
A,rho=0.0,0.02,MGL,7,0.5000000000000001,4.892500000000001,0.17721518987341772
A,rho=0.0,0.02,Binary,7,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,7,0.55,1.6425,0.05063291139240506
A,rho=0.0,0.02,Binary,8,0.1,1030.26,1.0
A,rho=0.0,0.02,MGL,8,0.1,1030.26,1.0
A,rho=0.0,0.02,Binary,8,0.15000000000000002,242.41000000000003,1.0
A,rho=0.0,0.02,MGL,8,0.15000000000000002,242.41000000000003,1.0
A,rho=0.0,0.02,Binary,8,0.2,69.58000000000001,1.0
A,rho=0.0,0.02,MGL,8,0.2,69.58000000000001,1.0
A,rho=0.0,0.02,Binary,8,0.25,23.450000000000003,0.8607594936708861
A,rho=0.0,0.02,MGL,8,0.25,135.71,0.9683544303797469
A,rho=0.0,0.02,Binary,8,0.30000000000000004,7.700000000000001,0.34810126582278483
A,rho=0.0,0.02,MGL,8,0.30000000000000004,65.50250000000001,0.7879746835443038
A,rho=0.0,0.02,Binary,8,0.3500000000000001,1.8900000000000001,0.08544303797468354
A,rho=0.0,0.02,MGL,8,0.3500000000000001,33.237500000000004,0.5791139240506329
A,rho=0.0,0.02,Binary,8,0.4,0.8400000000000001,0.0379746835443038
A,rho=0.0,0.02,MGL,8,0.4,17.365000000000002,0.43670886075949367
A,rho=0.0,0.02,Binary,8,0.45000000000000007,0.07,0.0031645569620253164
A,rho=0.0,0.02,MGL,8,0.45000000000000007,8.767500000000002,0.2563291139240506
A,rho=0.0,0.02,Binary,8,0.5000000000000001,0.0,0.0
A,rho=0.0,0.02,MGL,8,0.5000000000000001,5.177500000000001,0.17721518987341772
A,rho=0.0,0.02,Binary,8,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,8,0.55,1.9850000000000003,0.06329113924050633
A,rho=0.0,0.02,Binary,9,0.1,1025.71,1.0
A,rho=0.0,0.02,MGL,9,0.1,1025.71,1.0
A,rho=0.0,0.02,Binary,9,0.15000000000000002,244.02,1.0
A,rho=0.0,0.02,MGL,9,0.15000000000000002,244.02,1.0
A,rho=0.0,0.02,Binary,9,0.2,69.44000000000001,1.0
A,rho=0.0,0.02,MGL,9,0.2,69.44000000000001,1.0
A,rho=0.0,0.02,Binary,9,0.25,23.94,0.8639240506329114
A,rho=0.0,0.02,MGL,9,0.25,134.525,0.9525316455696202
A,rho=0.0,0.02,Binary,9,0.30000000000000004,8.33,0.37341772151898733
A,rho=0.0,0.02,MGL,9,0.30000000000000004,66.6575,0.7721518987341772
