noise_sigma,n_persist,strategy,seed,threshold_id,threshold_val,total_bytes_mbit,recall
0.02,3,MGL,8,3,0.25,102.60000000000002,0.9367088607594937
0.02,5,MGL,8,3,0.25,67.67000000000002,0.9018987341772152
0.02,0,Binary,8,4,0.30000000000000004,7.700000000000001,0.34810126582278483
0.02,2,MGL,8,4,0.30000000000000004,65.50250000000001,0.7879746835443038
0.02,3,MGL,8,4,0.30000000000000004,47.3025,0.6708860759493671
0.02,5,MGL,8,4,0.30000000000000004,29.3125,0.49050632911392406
0.02,0,Binary,8,5,0.3500000000000001,1.8900000000000001,0.08544303797468354
0.02,2,MGL,8,5,0.3500000000000001,33.237500000000004,0.5791139240506329
0.02,3,MGL,8,5,0.3500000000000001,22.807500000000005,0.43354430379746833
0.02,5,MGL,8,5,0.3500000000000001,12.937500000000002,0.22468354430379747
0.02,0,Binary,8,6,0.4,0.8400000000000001,0.0379746835443038
0.02,2,MGL,8,6,0.4,17.365000000000002,0.43670886075949367
0.02,3,MGL,8,6,0.4,11.835,0.31645569620253167
0.02,5,MGL,8,6,0.4,7.005000000000001,0.1518987341772152
0.02,0,Binary,8,7,0.45000000000000007,0.07,0.0031645569620253164
0.02,2,MGL,8,7,0.45000000000000007,8.767500000000002,0.2563291139240506
0.02,3,MGL,8,7,0.45000000000000007,6.107500000000002,0.17088607594936708
0.02,5,MGL,8,7,0.45000000000000007,3.4475000000000007,0.07278481012658228
0.02,0,Binary,8,8,0.5000000000000001,0.0,0.0
0.02,2,MGL,8,8,0.5000000000000001,5.177500000000001,0.17721518987341772
0.02,3,MGL,8,8,0.5000000000000001,3.4275,0.11392405063291139
0.02,5,MGL,8,8,0.5000000000000001,1.6775000000000002,0.03481012658227848
0.02,0,Binary,8,9,0.55,0.0,0.0
0.02,2,MGL,8,9,0.55,1.9850000000000003,0.06329113924050633
0.02,3,MGL,8,9,0.55,1.0750000000000002,0.02531645569620253
0.02,5,MGL,8,9,0.55,0.5850000000000002,0.0031645569620253164
0.02,0,Binary,9,0,0.1,1025.71,1.0
0.02,2,MGL,9,0,0.1,1025.71,1.0
0.02,3,MGL,9,0,0.1,1025.71,1.0
0.02,5,MGL,9,0,0.1,1025.71,1.0
0.02,0,Binary,9,1,0.15000000000000002,244.02,1.0
0.02,2,MGL,9,1,0.15000000000000002,244.02,1.0
0.02,3,MGL,9,1,0.15000000000000002,244.02,1.0
0.02,5,MGL,9,1,0.15000000000000002,244.02,1.0
0.02,0,Binary,9,2,0.2,69.44000000000001,1.0
0.02,2,MGL,9,2,0.2,69.44000000000001,1.0
0.02,3,MGL,9,2,0.2,69.44000000000001,1.0
0.02,5,MGL,9,2,0.2,69.44000000000001,1.0
0.02,0,Binary,9,3,0.25,23.94,0.8639240506329114
0.02,2,MGL,9,3,0.25,134.525,0.9525316455696202
0.02,3,MGL,9,3,0.25,101.69500000000001,0.9272151898734177
0.02,5,MGL,9,3,0.25,68.305,0.8860759493670886
0.02,0,Binary,9,4,0.30000000000000004,8.33,0.37341772151898733
0.02,2,MGL,9,4,0.30000000000000004,66.6575,0.7721518987341772
0.02,3,MGL,9,4,0.30000000000000004,47.477500000000006,0.6613924050632911
0.02,5,MGL,9,4,0.30000000000000004,29.347500000000004,0.5126582278481012
0.02,0,Binary,9,5,0.3500000000000001,2.3800000000000003,0.10759493670886076
0.02,2,MGL,9,5,0.3500000000000001,32.425,0.5664556962025317
0.02,3,MGL,9,5,0.3500000000000001,22.485000000000003,0.41455696202531644
0.02,5,MGL,9,5,0.3500000000000001,13.105000000000002,0.23734177215189872
0.02,0,Binary,9,6,0.4,0.6300000000000001,0.028481012658227847
0.02,2,MGL,9,6,0.4,16.8775,0.41455696202531644
0.02,3,MGL,9,6,0.4,11.067500000000003,0.2721518987341772
0.02,5,MGL,9,6,0.4,7.147500000000001,0.13924050632911392
0.02,0,Binary,9,7,0.45000000000000007,0.0,0.0
0.02,2,MGL,9,7,0.45000000000000007,8.992500000000001,0.27531645569620256
0.02,3,MGL,9,7,0.45000000000000007,6.0525,0.18354430379746836
0.02,5,MGL,9,7,0.45000000000000007,3.1125000000000007,0.06645569620253164
0.02,0,Binary,9,8,0.5000000000000001,0.0,0.0
0.02,2,MGL,9,8,0.5000000000000001,5.055000000000001,0.18037974683544303
0.02,3,MGL,9,8,0.5000000000000001,3.2350000000000003,0.10759493670886076
0.02,5,MGL,9,8,0.5000000000000001,1.5550000000000002,0.03164556962025317
0.02,0,Binary,9,9,0.55,0.0,0.0
0.02,2,MGL,9,9,0.55,1.6925000000000003,0.05379746835443038
